Date,Day,Topic,Time Slot,Status,Notes,GitHub Link
2025-07-15,Day 1,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-16,Day 2,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-17,Day 3,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-18,Day 4,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-19,Day 5,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-20,Day 6,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-21,Day 7,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-22,Day 8,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-23,Day 9,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-24,Day 10,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-25,Day 11,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-26,Day 12,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-27,Day 13,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-28,Day 14,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-29,Day 15,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-30,Day 16,,6AM–5PM / 10:30PM–11:30PM,,,
2025-07-31,Day 17,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-01,Day 18,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-02,Day 19,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-03,Day 20,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-04,Day 21,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-05,Day 22,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-06,Day 23,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-07,Day 24,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-08,Day 25,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-09,Day 26,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-10,Day 27,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-11,Day 28,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-12,Day 29,,6AM–5PM / 10:30PM–11:30PM,,,
2025-08-13,Day 30,,6AM–5PM / 10:30PM–11:30PM,,,
